time;position;tas;heading_angle;climb_angle;
10410.836716s;51°19'27.564981"N 9°21'5.796526"E 30000.00ft;700.0km/h;63.97°;0.00°;
10462.265287s;51°21'48.924252"N 9°28'51.260691"E 30000.00ft;700.0km/h;64.07°;0.00°;
10513.693859s;51°24'9.769635"N 9°36'37.522807"E 30000.00ft;700.0km/h;64.17°;0.00°;
10565.122430s;51°26'30.099520"N 9°44'24.582447"E 30000.00ft;700.0km/h;64.27°;0.00°;
10616.551002s;51°28'49.912295"N 9°52'12.439157"E 30000.00ft;700.0km/h;64.38°;0.00°;
10667.979573s;51°31'9.206348"N 10°0'1.092460"E 30000.00ft;700.0km/h;64.48°;0.00°;
10719.408144s;51°33'27.980066"N 10°7'50.541848"E 30000.00ft;700.0km/h;64.58°;0.00°;
10770.836716s;51°35'46.231834"N 10°15'40.786789"E 30000.00ft;700.0km/h;64.68°;0.00°;
10822.265287s;51°38'3.960040"N 10°23'31.826723"E 30000.00ft;700.0km/h;64.78°;0.00°;
10873.693859s;51°40'21.163069"N 10°31'23.661063"E 30000.00ft;700.0km/h;64.89°;0.00°;
10925.122430s;51°42'37.839306"N 10°39'16.289193"E 30000.00ft;700.0km/h;64.99°;0.00°;
10976.551002s;51°44'53.987136"N 10°47'9.710471"E 30000.00ft;700.0km/h;65.09°;0.00°;
11027.979573s;51°47'9.604944"N 10°55'3.924228"E 30000.00ft;700.0km/h;65.20°;0.00°;
11079.408144s;51°49'24.691114"N 11°2'58.929764"E 30000.00ft;700.0km/h;65.30°;0.00°;
11130.836716s;51°51'39.244030"N 11°10'54.726352"E 30000.00ft;700.0km/h;65.41°;0.00°;
11182.265287s;51°53'53.262077"N 11°18'51.313239"E 30000.00ft;700.0km/h;65.51°;0.00°;
11233.693859s;51°56'6.743638"N 11°26'48.689641"E 30000.00ft;700.0km/h;65.61°;0.00°;
11285.122430s;51°58'19.687098"N 11°34'46.854745"E 30000.00ft;700.0km/h;65.72°;0.00°;
11336.551002s;52°0'32.090842"N 11°42'45.807710"E 30000.00ft;700.0km/h;65.82°;0.00°;
11387.979573s;52°2'43.953252"N 11°50'45.547666"E 30000.00ft;700.0km/h;65.93°;0.00°;
11439.408144s;52°4'55.272715"N 11°58'46.073713"E 30000.00ft;700.0km/h;66.03°;0.00°;
11490.836716s;52°7'6.047615"N 12°6'47.384924"E 30000.00ft;700.0km/h;66.14°;0.00°;
