time;position;tas;heading_angle;climb_angle;
12776.55s;52°58'40.819079"N 15°32'1.085939"E 20007.26ft;694.4km/h;68.86°;-0.00°;
12827.98s;53°0'35.811108"N 15°40'18.005333"E 20006.74ft;693.5km/h;68.97°;-0.00°;
12879.41s;53°2'30.151134"N 15°48'35.335950"E 20006.26ft;693.0km/h;69.08°;-0.00°;
12930.84s;53°4'23.921086"N 15°56'53.435197"E 20005.81ft;693.1km/h;69.19°;-0.00°;
12982.27s;53°6'17.200626"N 16°5'12.659951"E 20005.40ft;693.6km/h;69.30°;-0.00°;
13033.69s;53°8'10.061322"N 16°13'33.340660"E 20005.01ft;694.6km/h;69.41°;-0.00°;
13085.12s;53°10'2.561462"N 16°21'55.757261"E 20004.66ft;696.0km/h;69.53°;-0.00°;
13136.55s;53°11'54.741871"N 16°30'20.118683"E 20004.32ft;697.7km/h;69.64°;-0.00°;
13187.98s;53°13'46.623030"N 16°38'46.547419"E 20004.01ft;699.6km/h;69.75°;-0.00°;
13239.41s;53°15'38.203704"N 16°47'15.070282"E 20003.73ft;701.4km/h;69.86°;-0.00°;
13290.84s;53°17'29.461135"N 16°55'45.616046"E 20003.46ft;703.2km/h;69.98°;-0.00°;
