time;position;tas;heading_angle;climb_angle;
10925.12s;51°42'35.183167"N 10°39'14.567129"E 20104.64ft;704.3km/h;64.99°;-0.01°;
10976.55s;51°44'51.664297"N 10°47'9.091641"E 20097.17ft;705.6km/h;65.09°;-0.01°;
11027.98s;51°47'7.534907"N 10°55'4.139499"E 20090.23ft;706.5km/h;65.19°;-0.01°;
11079.41s;51°49'22.781476"N 11°2'59.663574"E 20083.78ft;707.0km/h;65.30°;-0.01°;
11130.84s;51°51'37.397195"N 11°10'55.639410"E 20077.80ft;706.9km/h;65.40°;-0.01°;
11182.27s;51°53'51.382286"N 11°18'52.067015"E 20072.24ft;706.4km/h;65.51°;-0.01°;
11233.69s;51°56'4.743814"N 11°26'48.970885"E 20067.08ft;705.4km/h;65.61°;-0.01°;
11285.12s;51°58'17.495009"N 11°34'46.398262"E 20062.29ft;704.0km/h;65.72°;-0.01°;
11336.55s;52°0'29.654147"N 11°42'44.415733"E 20057.84ft;702.3km/h;65.82°;-0.01°;
11387.98s;52°2'41.243078"N 11°50'43.104428"E 20053.71ft;700.4km/h;65.93°;-0.01°;
11439.41s;52°4'52.285507"N 11°58'42.554138"E 20049.87ft;698.6km/h;66.03°;-0.01°;
11490.84s;52°7'2.805153"N 12°6'42.856800"E 20046.31ft;696.8km/h;66.14°;-0.01°;
11542.27s;52°9'12.823931"N 12°14'44.099789"E 20043.00ft;695.3km/h;66.24°;-0.01°;
11593.69s;52°11'22.360267"N 12°22'46.359530"E 20039.93ft;694.1km/h;66.35°;-0.01°;
11645.12s;52°13'31.427685"N 12°30'49.695861"E 20037.08ft;693.3km/h;66.46°;-0.01°;
11696.55s;52°15'40.033759"N 12°38'54.147594"E 20034.43ft;693.0km/h;66.56°;-0.00°;
11747.98s;52°17'48.179502"N 12°46'59.729559"E 20031.97ft;693.2km/h;66.67°;-0.00°;
11799.41s;52°19'55.859230"N 12°55'6.431382"E 20029.69ft;693.9km/h;66.78°;-0.00°;
11850.84s;52°22'3.060914"N 13°3'14.218071"E 20027.57ft;695.1km/h;66.88°;-0.00°;
11902.27s;52°24'9.766982"N 13°11'23.032379"E 20025.60ft;696.6km/h;66.99°;-0.00°;
11953.69s;52°26'15.955520"N 13°19'32.798785"E 20023.77ft;698.3km/h;67.10°;-0.00°;
12005.12s;52°28'21.601768"N 13°27'43.428803"E 20022.07ft;700.2km/h;67.21°;-0.00°;
12056.55s;52°30'26.679813"N 13°35'54.827238"E 20020.50ft;702.0km/h;67.31°;-0.00°;
12107.98s;52°32'31.164347"N 13°44'6.898954"E 20019.03ft;703.8km/h;67.42°;-0.00°;
12159.41s;52°34'35.032374"N 13°52'19.555646"E 20017.67ft;705.2km/h;67.53°;-0.00°;
12210.84s;52°36'38.264720"N 14°0'32.722150"E 20016.41ft;706.3km/h;67.64°;-0.00°;
12262.27s;52°38'40.847271"N 14°8'46.341810"E 20015.24ft;706.9km/h;67.75°;-0.00°;
12313.69s;52°40'42.771823"N 14°17'0.380528"E 20014.15ft;707.0km/h;67.86°;-0.00°;
12365.12s;52°42'44.036507"N 14°25'14.829198"E 20013.14ft;706.6km/h;67.97°;-0.00°;
12416.55s;52°44'44.645745"N 14°33'29.704333"E 20012.20ft;705.7km/h;68.08°;-0.00°;
12467.98s;52°46'44.609762"N 14°41'45.046845"E 20011.33ft;704.5km/h;68.19°;-0.00°;
