time;position_error
40052.74s;0.0376nm;
40104.17s;0.0260nm;
40155.60s;0.0124nm;
40207.03s;0.0020nm;
40258.46s;0.0163nm;
40309.89s;0.0294nm;
40361.31s;0.0404nm;
40412.74s;0.0485nm;
40464.17s;0.0530nm;
40515.60s;0.0538nm;
40567.03s;0.0507nm;
40618.46s;0.0439nm;
40669.89s;0.0340nm;
40721.31s;0.0216nm;
40772.74s;0.0077nm;
40824.17s;0.0068nm;
40875.60s;0.0208nm;
40927.03s;0.0333nm;
40978.46s;0.0434nm;
41029.89s;0.0504nm;
41081.31s;0.0537nm;
41132.74s;0.0532nm;
41184.17s;0.0488nm;
41235.60s;0.0409nm;
41287.03s;0.0301nm;
41338.46s;0.0171nm;
41389.89s;0.0029nm;
41441.31s;0.0116nm;
41492.74s;0.0252nm;
41544.17s;0.0370nm;
41595.60s;0.0461nm;
41647.03s;0.0519nm;
41698.46s;0.0540nm;
41749.89s;0.0522nm;
41801.31s;0.0466nm;
41852.74s;0.0376nm;
41904.17s;0.0260nm;
41955.60s;0.0124nm;
42007.03s;0.0020nm;
42058.46s;0.0163nm;
42109.89s;0.0294nm;
42161.31s;0.0404nm;
42212.74s;0.0485nm;
42264.17s;0.0530nm;
42315.60s;0.0538nm;
42367.03s;0.0507nm;
42418.46s;0.0439nm;
42469.89s;0.0340nm;
42521.31s;0.0216nm;
42572.74s;0.0077nm;
42624.17s;0.0068nm;
42675.60s;0.0208nm;
42727.03s;0.0333nm;
42778.46s;0.0434nm;
42829.89s;0.0504nm;
42881.31s;0.0537nm;
42932.74s;0.0532nm;
42984.17s;0.0488nm;
43035.60s;0.0409nm;
43087.03s;0.0301nm;
43138.46s;0.0171nm;
43189.89s;0.0029nm;
43241.31s;0.0116nm;
43292.74s;0.0252nm;
43344.17s;0.0370nm;
43395.60s;0.0461nm;
43447.03s;0.0519nm;
43498.46s;0.0540nm;
43549.89s;0.0522nm;
43601.31s;0.0466nm;
43652.74s;0.0376nm;
43704.17s;0.0260nm;
43755.60s;0.0124nm;
43807.03s;0.0020nm;
43858.46s;0.0163nm;
43909.89s;0.0294nm;
43961.31s;0.0404nm;
44012.74s;0.0485nm;
44064.17s;0.0530nm;
44115.60s;0.0538nm;
44167.03s;0.0507nm;
44218.46s;0.0439nm;
44269.89s;0.0340nm;
44321.31s;0.0216nm;
44372.74s;0.0077nm;
44424.17s;0.0068nm;
44475.60s;0.0208nm;
44527.03s;0.0333nm;
44578.46s;0.0434nm;
44629.89s;0.0504nm;
44681.31s;0.0537nm;
44732.74s;0.0532nm;
44784.17s;0.0488nm;
44835.60s;0.0409nm;
44887.03s;0.0301nm;
44938.46s;0.0171nm;
44989.89s;0.0029nm;
45041.31s;0.0116nm;
45092.74s;0.0252nm;
45144.17s;0.0370nm;
45195.60s;0.0461nm;
45247.03s;0.0519nm;
45298.46s;0.0540nm;
45349.89s;0.0522nm;
45401.31s;0.0466nm;
45452.74s;0.0376nm;
45504.17s;0.0260nm;
45555.60s;0.0124nm;
45607.03s;0.0020nm;
45658.46s;0.0163nm;
45709.89s;0.0294nm;
45761.31s;0.0404nm;
45812.74s;0.0485nm;
45864.17s;0.0530nm;
45915.60s;0.0538nm;
45967.03s;0.0507nm;
46018.46s;0.0439nm;
46069.89s;0.0340nm;
46101.26s;0.0163nm;
46152.69s;0.0132nm;
46204.12s;0.0012nm;
46255.54s;0.0155nm;
46306.97s;0.0287nm;
46358.40s;0.0398nm;
46409.83s;0.0481nm;
46461.26s;0.0529nm;
46512.69s;0.0539nm;
46564.12s;0.0510nm;
46615.54s;0.0444nm;
46666.97s;0.0346nm;
46718.40s;0.0224nm;
46769.83s;0.0085nm;
46821.26s;0.0060nm;
46872.69s;0.0201nm;
46924.12s;0.0327nm;
46975.54s;0.0429nm;
47026.97s;0.0501nm;
47078.40s;0.0536nm;
47129.83s;0.0533nm;
47181.26s;0.0492nm;
47232.69s;0.0415nm;
47284.12s;0.0308nm;
47335.54s;0.0179nm;
47386.97s;0.0037nm;
47438.40s;0.0108nm;
47489.83s;0.0245nm;
47541.26s;0.0364nm;
47592.69s;0.0457nm;
47644.12s;0.0517nm;
47695.54s;0.0540nm;
47746.97s;0.0524nm;
47798.40s;0.0470nm;
47849.83s;0.0382nm;
47901.26s;0.0267nm;
47952.69s;0.0132nm;
48004.12s;0.0012nm;
48055.54s;0.0155nm;
48106.97s;0.0287nm;
48158.40s;0.0398nm;
48209.83s;0.0481nm;
48261.26s;0.0529nm;
48312.69s;0.0539nm;
48364.12s;0.0510nm;
48415.54s;0.0444nm;
48466.97s;0.0346nm;
48518.40s;0.0224nm;
48569.83s;0.0085nm;
48621.26s;0.0060nm;
48672.69s;0.0201nm;
48724.12s;0.0327nm;
48775.54s;0.0429nm;
48826.97s;0.0501nm;
48878.40s;0.0536nm;
48929.83s;0.0533nm;
48981.26s;0.0492nm;
49032.69s;0.0415nm;
49084.12s;0.0308nm;
49135.54s;0.0179nm;
49186.97s;0.0037nm;
49238.40s;0.0108nm;
49289.83s;0.0245nm;
49341.26s;0.0364nm;
49392.69s;0.0457nm;
49444.12s;0.0517nm;
49495.54s;0.0540nm;
49546.97s;0.0524nm;
49598.40s;0.0470nm;
49649.83s;0.0382nm;
49701.26s;0.0267nm;
49752.69s;0.0132nm;
49804.12s;0.0012nm;
49855.54s;0.0155nm;
49906.97s;0.0287nm;
49958.40s;0.0398nm;
50009.83s;0.0481nm;
50061.26s;0.0529nm;
50112.69s;0.0539nm;
50164.12s;0.0510nm;
50215.54s;0.0444nm;
50266.97s;0.0346nm;
50318.40s;0.0224nm;
50369.83s;0.0085nm;
50421.26s;0.0060nm;
50472.69s;0.0201nm;
50524.12s;0.0327nm;
50575.54s;0.0429nm;
50626.97s;0.0501nm;
50678.40s;0.0536nm;
50729.83s;0.0533nm;
50781.26s;0.0492nm;
50832.69s;0.0415nm;
50884.12s;0.0308nm;
50935.54s;0.0179nm;
50986.97s;0.0037nm;
51038.40s;0.0108nm;
51089.83s;0.0245nm;
51141.26s;0.0364nm;
51192.69s;0.0457nm;
